id,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,data_time,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,description_tokens, ,',+,",",-,.,/,2,[,],_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
10,Data Analyst - 100% Remote,"PMO Partners, LLC","Dearing, KS",via SonicJobs,"['4 hours ago', 'Full-time']",4 hours ago,Full-time,,00:12.6,,,,,,,,,"['sas', 'sql', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
11,Lead Data Analyst,Laka & Company,"Bentonville, AR",via LinkedIn,"['10 hours ago', '100K to 140K a year', 'Full-time']",10 hours ago,Full-time,,00:12.6,100K to 140K,a year,120000,100000,140000,,120000,120000,"['c', 'ssrs', 'sql', 'ssis', 'python', 'azure']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
12,Quality Advisor & Data Analyst,Peterson Health,United States,via Indeed,"['4 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,,00:12.6,,,,,,,,,"['excel', 'word']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
13,Sr. Business Data Analyst,Teleperformance USA,"Topeka, KS",via Adzuna,"['23 hours ago', 'Full-time']",23 hours ago,Full-time,,00:12.6,,,,,,,,,"['power_bi', 'excel', 'go', 'word', 'powerpoint']",1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0
14,Senior Data Analyst,HonorVet Technologies,"Dearing, KS",via SonicJobs,"['4 hours ago', 'Full-time', 'No degree mentioned']",4 hours ago,Full-time,,00:12.6,,,,,,,,,"['postgresql', 'sql', 'hadoop', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
15,"Data Analyst - CropSights, a Precision Ag Platform (Remote - Must...",Wilbur-Ellis Company,United States,via Laimoon.com,"['4 hours ago', 'Contractor', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Contractor,,00:12.6,,,,,,,,,"['sql', 'excel', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
16,"Data Analyst, Lab & Life Sciences",DispatchHealth Management,United States,via Indeed,"['19 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",19 hours ago,Full-time,,00:12.6,,,,,,,,,"['looker', 'outlook', 'sharepoint', 'powerpoint', 'word', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0
17,Data Analyst,American Technology Consulting - ATC,United States,via LinkedIn,"['13 hours ago', 'Full-time', 'Health insurance']",13 hours ago,Full-time,,00:12.6,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Data Analyst,Chewy,United States,via BeBee,"['21 hours ago', 'Full-time']",21 hours ago,Full-time,,00:12.6,,,,,,,,,"['spreadsheet', 'power_bi', 'qlik', 'sql', 'r', 'tableau', 'python']",1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
19,Data Analyst 2 - Remote - 2137867,United Health Group,United States,via Jora,"['5 hours ago', 'Full-time', 'Health insurance']",5 hours ago,Full-time,,00:12.6,,,,,,,,,"['word', 'sql', 'mysql', 'power_bi', 'excel', 'python']",1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
20,Junior Data Analyst,Educated Solutions Corp,United States,via My Stateline Jobs,"['8 hours ago', '25 to 26 an hour', 'Full-time', 'Health insurance', 'Dental insurance']",8 hours ago,Full-time,,00:14.4,25 to 26,an hour,25.5,25,26,25.5,,53040,"['excel', 'word']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
21,Business Analyst (REMOTE),Metasys Technologies,"Dearing, KS",via SonicJobs,"['4 hours ago', 'Full-time']",4 hours ago,Full-time,,00:14.4,,,,,,,,,['excel'],0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,Senior Data Analyst - Cox Communities,Cox Communications,"Springdale, AR",via LinkedIn,"['3 minutes ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",3 minutes ago,Full-time,,00:14.4,,,,,,,,,"['tableau', 'sql', 'alteryx']",1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0
23,"Sr. Financial Data Analytics, Reporting Analyst",Cochlear,United States,via LinkedIn,"['5 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",5 hours ago,Full-time,,00:14.4,,,,,,,,,"['tableau', 'excel', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0
24,Data Processor I,"Management Science Associates, Inc.",United States,via LinkedIn,"['17 hours ago', 'Full-time', 'No degree mentioned']",17 hours ago,Full-time,,00:14.4,,,,,,,,,"['excel', 'word']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
25,HEALTH POLICY ANALYST II (Data & Evaluation Specialist) REPOST...,State of Maryland,United States,via LinkedIn,"['10 hours ago', 'Full-time', 'Health insurance', 'Dental insurance']",10 hours ago,Full-time,,00:14.4,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Senior Business Intelligence Analyst - R3574-2603,"Chickasaw Nation Industries, Inc.","Lone Grove, OK",via LinkedIn,"['10 hours ago', 'Contractor']",10 hours ago,Contractor,,00:14.4,,,,,,,,,"['sap', 'tableau', 'sql', 'cognos']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
27,Quotation Analyst,ArcBest,"Fort Smith, AR",via LinkedIn,"['6 hours ago', 'Full-time']",6 hours ago,Full-time,,00:14.4,,,,,,,,,['outlook'],0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
28,Business Intelligence Data Analyst,Acumed,United States,via LinkedIn,"['12 hours ago', 'Full-time']",12 hours ago,Full-time,,00:14.4,,,,,,,,,"['power_bi', 'excel', 'sql', 'sap']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0
29,Audit Sr. Data Analyst,American Fidelity,"Oklahoma City, OK",via LinkedIn,"['16 hours ago', 'Full-time', 'No degree mentioned']",16 hours ago,Full-time,,00:14.4,,,,,,,,,"['spreadsheet', 'power_bi', 'excel', 'qlik', 'word', 'sql', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
30,Data Onboarding Analyst,S&P Global,United States,via LinkedIn,"['16 hours ago', 'Full-time', 'Health insurance']",16 hours ago,Full-time,,00:15.7,,,,,,,,,"['sql', 'gcp', 'aws']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
31,Data and Reporting Analyst,H&R Block,United States,via LinkedIn,"['10 hours ago', 'Full-time']",10 hours ago,Full-time,,00:15.7,,,,,,,,,"['power_bi', 'sas', 'sql', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0
32,Senior Procurement Analyst,Mimecast,United States,via LinkedIn,"['18 hours ago', 'Full-time']",18 hours ago,Full-time,,00:15.7,,,,,,,,,"['go', 'tableau', 'powerpoint', 'power_bi', 'matlab', 'sql', 'power_bi', 'excel', 'java', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
33,Data Analytics Project Lead-Hybrid,Honeywell,"Overland Park, KS",via LinkedIn,"['12 hours ago', 'Full-time']",12 hours ago,Full-time,,00:15.7,,,,,,,,,['sql'],0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
34,Research/Data Analyst,State of Missouri,"Jefferson City, MO",via LinkedIn,"['11 hours ago', 'Full-time', 'Health insurance']",11 hours ago,Full-time,,00:15.7,,,,,,,,,"['jira', 'tableau', 'cognos']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0
35,Junior Data Analyst,SynergisticIT,United States,via LinkedIn,"['10 hours ago', 'Full-time']",10 hours ago,Full-time,,00:15.7,,,,,,,,,"['mysql', 'excel', 'tableau', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
36,Data Analyst,Ozarks Community Hospital,"Springfield, MO",via Indeed,"['12 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",12 hours ago,Full-time,,00:15.7,,,,,,,,,['c'],0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Analyst Advanced Analytics,NBCUniversal,United States,via WayUp,"['24 hours ago', 'Full-time']",24 hours ago,Full-time,,00:15.7,,,,,,,,,"['tableau', 'sql', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0
38,Director of Financial Planning and Analysis,Mode,"Oklahoma City, OK",via Startup Jobs,"['16 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Paid time off']",16 hours ago,Full-time,,00:15.7,,,,,,,,,"['spreadsheet', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
39,"Sr. Data Analyst, Operations Data",Virgin Galactic,United States,via Virgin Galactic Careers,"['5 hours ago', 'Full-time', 'Health insurance']",5 hours ago,Full-time,,00:15.7,,,,,,,,,"['power_bi', 'excel']",1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
40,"Sr. Data Analyst, Logistics",Rivian,United States,via BeBee,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:18.9,,,,,,,,,"['jira', 'sap', 'tableau', 'power_bi', 'sql', 'alteryx', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
41,PowerBI Data Analyst,Kelly Mitchell Group,United States,via BeBee,"['3 hours ago', 'Full-time', 'No degree mentioned']",3 hours ago,Full-time,,00:18.9,,,,,,,,,"['power_bi', 'excel', 'power_bi']",1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
42,Business/Data Analyst,Insight Global 4.0äÖƒ,"Oklahoma City, OK",via Jobs,"['6 hours ago', 'Full-time']",6 hours ago,Full-time,,00:18.9,,,,,,,,,['excel'],0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Problem Management Business Data Analyst Intern,CORPORATE,Missouri,via Tarta.ai,"['4 hours ago', 'Full-time']",4 hours ago,Full-time,,00:18.9,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Sr Data Integrity Analyst,McKesson,United States,via BeBee,"['11 hours ago', 'Full-time', 'Health insurance']",11 hours ago,Full-time,,00:18.9,,,,,,,,,['snowflake'],0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
45,Senior Data Analyst / Platform Experience,Atria Wealth Solutions,United States,via LinkedIn,"['23 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",23 hours ago,Full-time,,00:18.9,,,,,,,,,"['atlassian', 'postgres', 'jira', 'sql']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
46,Data Analyst,Humana,"Rogers, AR",via Nexxt,"['11 hours ago', 'Full-time', 'No degree mentioned']",11 hours ago,Full-time,,00:18.9,,,,,,,,,"['power_bi', 'excel', 'word', 'sql', 'python', 'powerpoint']",1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
47,Compliance Data Analyst and Reporting Lead,BMO US,United States,via LinkedIn,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:18.9,,,,,,,,,"['vba', 'powerpoint', 'power_bi', 'excel']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0
48,Sr. Data Analyst,Ivy Tech Solutions inc,United States,via Adzuna,"['11 hours ago', 'Full-time', 'No degree mentioned']",11 hours ago,Full-time,,00:18.9,,,,,,,,,"['power_bi', 'excel']",1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
49,Staff Data Analyst,Rock Central,United States,via Indeed,"['17 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",17 hours ago,Full-time,,00:18.9,,,,,,,,,"['go', 'sas', 'sql', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
50,"Data Analyst, QMS",MCKESSON,United States,via Adzuna,"['7 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",7 hours ago,Full-time,,00:21.9,,,,,,,,,"['spreadsheet', 'jira', 'visio', 'powerpoint', 'word', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0
51,Data Analyst,Specialized Bicycle Components,United States,via BeBee,"['17 minutes ago', 'Full-time', 'Health insurance']",17 minutes ago,Full-time,,00:21.9,,,,,,,,,"['go', 'excel']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
52,SalesForce Data Analyst,Proven Recruiting,United States,via LinkedIn,"['17 hours ago', 'Full-time', 'No degree mentioned']",17 hours ago,Full-time,,00:21.9,,,,,,,,,['excel'],0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,Business Data Analyst - Part-time,TEKsystems,"Kansas City, MO",via Snagajob,"['1 hour ago', 'Part-time']",1 hour ago,Part-time,,00:21.9,,,,,,,,,['jira'],0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,Data Analyst,Action For Children,United States,via Tarta - Tarta.ai,"['4 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,,00:21.9,,,,,,,,,"['tableau', 'outlook', 'alteryx', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0
55,Seismo-Acoustic Data Analyst - SkillBridge,Tasha Lott,United States,via Jora,"['51 minutes ago', 'Internship']",51 minutes ago,Internship,,00:21.9,,,,,,,,,"['powerpoint', 'shell', 'unix/linux', 'linux', 'perl', 'word', 'sql', 'excel', 'r']",1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
56,Data Operations Analyst,Epiq,"Overland Park, KS",via LinkedIn,"['15 hours ago', 'Full-time']",15 hours ago,Full-time,,00:21.9,,,,,,,,,"['nuix', 'sql']",1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0
57,Data Analyst,Inceed,"Oklahoma City, OK",via LinkedIn,"['13 hours ago', 'Full-time', 'No degree mentioned']",13 hours ago,Full-time,,00:21.9,,,,,,,,,"['sql', 'tableau', 'power_bi']",1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0
58,Healthcare Data Analyst,Pediatrics Northwest,United States,via Job,"['4 hours ago', '25 an hour', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,,00:21.9,25,an hour,25,,,25,,52000,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Lead Healthcare Data Modeler,Perficient,Missouri,via LinkedIn,"['15 hours ago', 'Full-time', 'No degree mentioned', 'Paid time off']",15 hours ago,Full-time,,00:21.9,,,,,,,,,"['jira', 'redshift', 'sql']",1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
60,Data Systems Analyst (2001) Jobs,SMX,United States,via Clearance Jobs,"['20 hours ago', 'Full-time']",20 hours ago,Full-time,,00:24.4,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Business Analytics Analyst,Citi,United States,via Monster,"['24 hours ago', 'Full-time']",24 hours ago,Full-time,,00:24.4,,,,,,,,,"['powerpoints', 'excel']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
62,Business Group Manager - Remediation & Data Analyst Manager - SVP...,Citi,Missouri,via Monster,"['24 hours ago', 'Full-time']",24 hours ago,Full-time,,00:24.4,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Program Management Data Analyst,Citi,United States,via Big Country Jobs,"['8 hours ago', '73,570 to 110,350 a year', 'Full-time']",8 hours ago,Full-time,,00:24.4,73570 to 110350,a year,91960,73570,110350,,91960,91960,"['sharepoint', 'sas', 'excel']",1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0
64,Institutional Credit Management - Lending Data Analyst - Vice...,Citi,United States,via Big Country Jobs,"['20 hours ago', '105,850 to 158,780 a year', 'Full-time']",20 hours ago,Full-time,,00:24.4,105850 to 158780,a year,132315,105850,158780,,132315,132315,"['cognos', 'tableau']",1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0
65,Business Analytics Analyst,Citi,United States,via JobServe,"['21 hours ago', '66,740 to 93,120 a year', 'Full-time']",21 hours ago,Full-time,,00:24.4,66740 to 93120,a year,79930,66740,93120,,79930,79930,"['powerpoints', 'excel']",1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0
66,AVP - Senior Data Analyst,Citi,United States,via BeBee,"['11 hours ago', 'Full-time']",11 hours ago,Full-time,,00:24.4,,,,,,,,,"['jira', 'tableau', 'sql', 'power_bi', 'excel', 'cognos', 'r', 'python']",1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
67,Data Analyst II,ALTEN,United States,via LinkedIn,"['10 hours ago', 'Full-time', 'No degree mentioned']",10 hours ago,Full-time,,00:24.4,,,,,,,,,['excel'],0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,Data Analyst II,ALTEN,United States,via LinkedIn,"['6 hours ago', 'Full-time', 'No degree mentioned']",6 hours ago,Full-time,,00:24.4,,,,,,,,,['excel'],0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,"Data Analyst, I II or III - Now Hiring",Jobot,"Stillwater, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:24.4,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"Data Analyst, I II or III - Now Hiring",Jobot,"Stillwater, OK",via Snagajob,"['16 hours ago', 'Full-time', 'No degree mentioned']",16 hours ago,Full-time,,00:26.5,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Data Analyst, I II or III - Now Hiring",Jobot,"Bartlesville, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:26.5,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,"Data Analyst, I II or III - Now Hiring",Jobot,"Stillwater, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:26.5,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"Data Analyst, I II or III - Now Hiring",Jobot,"Bartlesville, OK",via Snagajob,"['20 hours ago', 'Full-time', 'No degree mentioned']",20 hours ago,Full-time,,00:26.5,,,,,,,,,[],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
