id,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,data_time,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,description_tokens
158,Data Analyst II,Edward Jones,"Warrensburg, MO",via JobServe,"['22 hours ago', '76,798 to 130,764 a year', 'Full-time', 'Health insurance']",22 hours ago,Full-time,False,00:30.2,76798 to 130764,a year,103781,76798,130764,,103781,103781,"['sas', 'snowflake', 'sql', 'spss', 'power_bi', 'excel', 'r', 'python']"
159,Lead-Data Analyst,Edward Jones,"Eugene, MO",via JobServe,"['22 hours ago', '106,916 to 182,047 a year', 'Full-time', 'Health insurance']",22 hours ago,Full-time,False,00:30.2,106916 to 182047,a year,144481.5,106916,182047,,144481.5,144481.5,[]
165,Data Analyst/Data Scientist (w2 role),CBL Solutions,United States,via Indeed,"['5 hours ago', '77,641.18 to 190,998.06 a year', 'Full-time']",5 hours ago,Full-time,False,00:30.2,77641.18 to 190998.06,a year,134319.62,77641.18,190998.06,,134319.62,134319.62,"['excel', 'sql', 'tableau', 'python', 'powerpoint']"
166,Data Analyst/Data Scientist (w2 role),CBL Solutions,United States,via Indeed,"['2 hours ago', '77,641.18 to 190,998.06 a year', 'Full-time']",2 hours ago,Full-time,False,00:30.2,77641.18 to 190998.06,a year,134319.62,77641.18,190998.06,,134319.62,134319.62,"['excel', 'sql', 'tableau', 'python', 'powerpoint']"
181,Analytics Consultant,The Judge Group,United States,via LinkedIn,"['13 hours ago', '40 to 55 an hour', 'Contractor']",13 hours ago,Contractor,False,00:49.0,40 to 55,an hour,47.5,40,55,47.5,,98800,"['power_bi', 'powershell', 'sas', 'sql', 'tableau']"
182,Sr. Data Analyst - Direct Hire - Northern Virginia,Vaco Technology,"Dearing, KS",via SonicJobs,"['16 hours ago', '110K a year', 'Full-time']",16 hours ago,Full-time,False,00:49.0,110K,a year,110000,,,,110000,110000,"['excel', 'sql', 'r', 'tableau', 'python']"
183,Sr. Data Analyst - Direct Hire - Northern Virginia,Vaco Technology,"Dearing, KS",via SonicJobs,"['13 hours ago', '110K a year', 'Full-time']",13 hours ago,Full-time,False,00:49.0,110K,a year,110000,,,,110000,110000,"['excel', 'sql', 'r', 'tableau', 'python']"
193,Data Engineer (Hybrid),Captivation Software,United States,via Ai-Jobs.net,"['10 hours ago', '175K to 260K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",10 hours ago,Full-time,False,00:07.7,175K to 260K,a year,217500,175000,260000,,217500,217500,"['excel', 'java', 'python', 'aws']"
194,Data Engineer (Hybrid),Captivation Software,United States,via Ai-Jobs.net,"['6 hours ago', '175K to 260K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",6 hours ago,Full-time,False,00:07.7,175K to 260K,a year,217500,175000,260000,,217500,217500,"['excel', 'java', 'python', 'aws']"
203,Business Sales Data Analyst,Wilbert Funeral Services,"Overland Park, KS",via ZipRecruiter,"['10 hours ago', '90K to 110K a year', 'Full-time']",10 hours ago,Full-time,False,00:10.7,90K to 110K,a year,100000,90000,110000,,100000,100000,"['spreadsheet', 'powerpoint', 'excel']"
204,Business Sales Data Analyst,Wilbert Funeral Services,"Overland Park, KS",via ZipRecruiter,"['6 hours ago', '90K to 110K a year', 'Full-time']",6 hours ago,Full-time,False,00:10.7,90K to 110K,a year,100000,90000,110000,,100000,100000,"['spreadsheet', 'powerpoint', 'excel']"
205,Data Ware House Analyst,"Acadia Technologies, Inc.",United States,via Dice,"['5 hours ago', '60K to 80K a year', 'Full-time', 'No degree mentioned']",5 hours ago,Full-time,False,00:10.7,60K to 80K,a year,70000,60000,80000,,70000,70000,"['sql', 'ssis']"
206,Data Ware House Analyst,"Acadia Technologies, Inc.",United States,via Dice,"['1 hour ago', '60K to 80K a year', 'Full-time', 'No degree mentioned']",1 hour ago,Full-time,False,00:10.7,60K to 80K,a year,70000,60000,80000,,70000,70000,"['sql', 'ssis']"
207,Data Analyst,"SnapDragon Associates, LLC",United States,via Indeed,"['6 hours ago', '90K to 130K a year', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",6 hours ago,Full-time,False,00:10.7,90K to 130K,a year,110000,90000,130000,,110000,110000,"['excel', 'sql']"
208,Data Analyst,"SnapDragon Associates, LLC",United States,via Indeed,"['2 hours ago', '90K to 130K a year', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']",2 hours ago,Full-time,False,00:16.7,90K to 130K,a year,110000,90000,130000,,110000,110000,"['excel', 'sql']"
225,Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",via LinkedIn,"['20 hours ago', '58,695 to 89,699 a year', 'Full-time', 'Health insurance', 'Dental insurance']",20 hours ago,Full-time,False,00:18.1,58695 to 89699,a year,74197,58695,89699,,74197,74197,[]
226,Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",via LinkedIn,"['16 hours ago', '58,695 to 89,699 a year', 'Full-time', 'Health insurance', 'Dental insurance']",16 hours ago,Full-time,False,00:18.1,58695 to 89699,a year,74197,58695,89699,,74197,74197,[]
227,Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",via LinkedIn,"['20 hours ago', '58,695 to 89,699 a year', 'Full-time', 'Health insurance', 'Dental insurance']",20 hours ago,Full-time,False,00:18.1,58695 to 89699,a year,74197,58695,89699,,74197,74197,[]
241,Data Analyst,Genuent,Anywhere,via INSPYR Solutions - Talentify,"['21 hours ago', '50 to 60 an hour', 'Work from home', 'Contractor', 'Health insurance']",21 hours ago,Contractor,True,00:21.7,50 to 60,an hour,55,50,60,55,,114400,"['postgres', 'jira', 'sharepoint', 'mongodb', 'snowflake', 'nosql', 'sql', 'redis', 'mysql', 'excel']"
242,Data Engineer,CRG,Anywhere,via LinkedIn,"['7 hours ago', '65 to 75 an hour', 'Work from home', 'Contractor']",7 hours ago,Contractor,True,00:21.7,65 to 75,an hour,70,65,75,70,,145600,"['spark', 'pyspark', 'sql', 'sap', 'python', 'scala', 'azure']"
246,Healthcare Financial Data Analyst - Hybrid,Village Care,Anywhere,via Indeed,"['3 hours ago', '77,506 to 87,195 a year', 'Work from home', 'Full-time', 'Health insurance']",3 hours ago,Full-time,True,00:21.7,77506 to 87195,a year,82350.5,77506,87195,,82350.5,82350.5,[]
253,Automation Data Analyst with Visualization - NO C2C,SMCI,Anywhere,via LinkedIn,"['12 hours ago', '45 to 47 an hour', 'Work from home', 'Contractor']",12 hours ago,Contractor,True,00:26.1,45 to 47,an hour,46,45,47,46,,95680,"['matplotlib', 'matlab', 'excel', 'c++', 'java', 'numpy', 'sql', 'pandas', 'r', 'tableau', 'python']"
267,Senior Health Data Analyst,Nuna Inc.,Anywhere,via LinkedIn,"['9 hours ago', '140K to 175K a year', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",9 hours ago,Full-time,True,00:27.5,140K to 175K,a year,157500,140000,175000,,157500,157500,['sql']
270,Azure Cloud Security Analyst,Imperium Data,Anywhere,via LinkedIn,"['8 hours ago', '90K to 115K a year', 'Work from home', 'Full-time', 'No degree mentioned']",8 hours ago,Full-time,True,00:08.7,90K to 115K,a year,102500,90000,115000,,102500,102500,['azure']
276,Data Analyst,Humans Doing,Anywhere,via Indeed,"['13 hours ago', '90K to 115K a year', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",13 hours ago,Full-time,True,00:08.7,90K to 115K,a year,102500,90000,115000,,102500,102500,"['sql', 'r', 'python', 'redshift', 'aws']"
277,Sr Data Analyst  to  Marketing Forecasts & Logistics,"Mavensoft Technologies, LLC.",Anywhere,via Indeed,"['7 hours ago', '47 to 57 an hour', 'Work from home', 'Contractor', 'Health insurance', 'Paid time off']",7 hours ago,Contractor,True,00:08.7,47 to 57,an hour,52,47,57,52,,108160,"['alteryx', 'sql', 'r', 'tableau']"
278,Sr. Data Analyst: Marketing,"RLA Engineering, LLC",Anywhere,via Indeed,"['24 hours ago', '50.60 to 52.40 an hour', 'Work from home', 'Full-time']",24 hours ago,Full-time,True,00:15.9,50.60 to 52.40,an hour,51.5,50.6,52.4,51.5,,107120,"['dax', 'tableau', 'outlook', 'sharepoint', 'visio', 'azure', 'powerpoint', 'word', 'sql', 'power_bi', 'excel']"
292,"District Data Support Analyst, California College Guidance Initiative",Foundation for California Community Colleges,Anywhere,via LinkedIn,"['13 hours ago', '75K to 95K a year', 'Work from home', 'Full-time']",13 hours ago,Full-time,True,00:18.1,75K to 95K,a year,85000,75000,95000,,85000,85000,"['jira', 'sql', 'excel', 'aws']"
299,Market Monitor - Economist (Hybrid) (Remote),California ISO,Anywhere,via Built In,"['8 hours ago', '98.7K to 164K a year', 'Work from home', 'Full-time']",8 hours ago,Full-time,True,00:23.7,98.7K to 164K,a year,131350,98700,164000,,131350,131350,"['go', 'sas', 'word', 'sql', 'excel', 'python']"
331,Data Analyst Expert Needed,Upwork,Anywhere,via Upwork,"['9 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",9 hours ago,Contractor,True,00:33.2,17 to 45,an hour,31,17,45,31,,64480,"['power_bi', 'spss', 'excel']"
335,Statistical Data Analysis using AMOS,Upwork,Anywhere,via Upwork,"['10 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor']",10 hours ago,Contractor,True,00:33.2,17 to 45,an hour,31,17,45,31,,64480,[]
336,R Developer,Upwork,Anywhere,via Upwork,"['15 hours ago', '25 to 35 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",15 hours ago,Contractor,True,00:33.2,25 to 35,an hour,30,25,35,30,,62400,['r']
337,Stay Interview,Upwork,Anywhere,via Upwork,"['23 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",23 hours ago,Contractor,True,00:33.2,70 to 115,an hour,92.5,70,115,92.5,,192400,[]
339,One-way ANOVA + Tukey HSD + Tueky superscripts,Upwork,Anywhere,via Upwork,"['6 hours ago', '17 to 30 an hour', 'Work from home', 'Contractor']",6 hours ago,Contractor,True,00:36.4,17 to 30,an hour,23.5,17,30,23.5,,48880,[]
341,[Urgent] Data Science Bootcamp Instructor,Upwork,Anywhere,via Upwork,"['8 minutes ago', '35 to 75 an hour', 'Work from home', 'Contractor']",8 minutes ago,Contractor,True,00:36.4,35 to 75,an hour,55,35,75,55,,114400,"['matplotlib', 'seaborn']"
345,Optimize Google Analytics System,Upwork,Anywhere,via Upwork,"['12 hours ago', '35 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",12 hours ago,Contractor,True,00:36.4,35 to 75,an hour,55,35,75,55,,114400,[]
346,Sales Intelligence platform with intent data,Upwork,Anywhere,via Upwork,"['21 hours ago', '10 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",21 hours ago,Contractor,True,00:36.4,10 to 25,an hour,17.5,10,25,17.5,,36400,['excel']
347,Data modelling specialist/ Data Scientist for Email send time...,Upwork,Anywhere,via Upwork,"['19 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor']",19 hours ago,Contractor,True,00:36.4,17 to 45,an hour,31,17,45,31,,64480,['sql']
350,Data analyst,Upwork,Anywhere,via Upwork,"['23 hours ago', '30 to 40 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",23 hours ago,Contractor,True,00:37.8,30 to 40,an hour,35,30,40,35,,72800,"['sql', 'python']"
351,Data Analyst Expert Needed,Upwork,Anywhere,via Upwork,"['6 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",6 hours ago,Contractor,True,00:37.8,17 to 45,an hour,31,17,45,31,,64480,"['power_bi', 'spss', 'excel']"
355,Statistical Data Analysis using AMOS,Upwork,Anywhere,via Upwork,"['6 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor']",6 hours ago,Contractor,True,00:37.8,17 to 45,an hour,31,17,45,31,,64480,[]
356,Stay Interview,Upwork,Anywhere,via Upwork,"['20 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:37.8,70 to 115,an hour,92.5,70,115,92.5,,192400,[]
358,One-way ANOVA + Tukey HSD + Tueky superscripts,Upwork,Anywhere,via Upwork,"['2 hours ago', '17 to 30 an hour', 'Work from home', 'Contractor']",2 hours ago,Contractor,True,00:39.6,17 to 30,an hour,23.5,17,30,23.5,,48880,[]
361,Optimize Google Analytics System,Upwork,Anywhere,via Upwork,"['8 hours ago', '35 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",8 hours ago,Contractor,True,00:39.6,35 to 75,an hour,55,35,75,55,,114400,[]
362,Google Analytics 4,Upwork,Anywhere,via Upwork,"['20 hours ago', '35 to 50 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",20 hours ago,Contractor,True,00:39.6,35 to 50,an hour,42.5,35,50,42.5,,88400,[]
363,Sales Intelligence platform with intent data,Upwork,Anywhere,via Upwork,"['18 hours ago', '10 to 25 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",18 hours ago,Contractor,True,00:39.6,10 to 25,an hour,17.5,10,25,17.5,,36400,['excel']
364,Actuary/data scientist with experience in risk adjustment required...,Upwork,Anywhere,via Upwork,"['15 hours ago', '35 to 170 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",15 hours ago,Contractor,True,00:39.6,35 to 170,an hour,102.5,35,170,102.5,,213200,[]
365,Google Ads / Analytics Mismatch Help,Upwork,Anywhere,via Upwork,"['7 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",7 hours ago,Contractor,True,00:39.6,17 to 45,an hour,31,17,45,31,,64480,[]
369,Data Analyst,Upwork,Anywhere,via Upwork,"['11 hours ago', '10 to 15 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,True,00:41.0,10 to 15,an hour,12.5,10,15,12.5,,26000,[]
371,Commercial data analyst,Upwork,Anywhere,via Upwork,"['13 hours ago', '12 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",13 hours ago,Contractor,True,00:41.0,12 to 45,an hour,28.5,12,45,28.5,,59280,"['sql', 'power_bi']"
372,Create a data analysis methodology for Salesforce data,Upwork,Anywhere,via Upwork,"['11 hours ago', '15 to 17 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,True,00:41.0,15 to 17,an hour,16,15,17,16,,33280,[]
376,Help me set up Google tag manager,Upwork,Anywhere,via Upwork,"['11 hours ago', '35 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,True,00:41.0,35 to 75,an hour,55,35,75,55,,114400,[]
377,User Comment Data Analysis and Dashboard Creation,Upwork,Anywhere,via Upwork,"['8 hours ago', '70 to 150 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",8 hours ago,Contractor,True,00:41.0,70 to 150,an hour,110,70,150,110,,228800,['excel']
378,Causal Inference Statistics Instructor/Analyst,Upwork,Anywhere,via Upwork,"['13 hours ago', '35 to 75 an hour', 'Work from home', 'Contractor']",13 hours ago,Contractor,True,00:42.5,35 to 75,an hour,55,35,75,55,,114400,[]
380,Data Scientist for Predictive Software Pricing Model,Upwork,Anywhere,via Upwork,"['11 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor']",11 hours ago,Contractor,True,00:42.5,70 to 115,an hour,92.5,70,115,92.5,,192400,[]
382,Good Analytics Expert,Upwork,Anywhere,via Upwork,"['11 hours ago', '70 to 115 an hour', 'Work from home', 'Part-time', 'No degree mentioned']",11 hours ago,Part-time,True,00:42.5,70 to 115,an hour,92.5,70,115,92.5,,192400,"['power_bi', 'tableau']"
386,"Help with Stata Statistical Analysis in autoregression, spillover...",Upwork,Anywhere,via Upwork,"['13 hours ago', '40 to 75 an hour', 'Work from home', 'Contractor']",13 hours ago,Contractor,True,00:42.5,40 to 75,an hour,57.5,40,75,57.5,,119600,[]
388,Supply Chain Data Analyst,Upwork,Anywhere,via Upwork,"['9 hours ago', '20 to 30 an hour', 'Work from home', 'Contractor']",9 hours ago,Contractor,True,00:48.1,20 to 30,an hour,25,20,30,25,,52000,"['excel', 'word']"
389,Research Data Analysis for Quantitative Surveys,Upwork,Anywhere,via Upwork,"['11 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor']",11 hours ago,Contractor,True,00:48.1,17 to 45,an hour,31,17,45,31,,64480,[]
391,Quick data analysis,Upwork,Anywhere,via Upwork,"['12 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",12 hours ago,Contractor,True,00:48.1,17 to 45,an hour,31,17,45,31,,64480,['spreadsheet']
392,Data analytics teacher needed,Upwork,Anywhere,via Upwork,"['11 hours ago', '20 to 50 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",11 hours ago,Contractor,True,00:48.1,20 to 50,an hour,35,20,50,35,,72800,"['sql', 'excel']"
394,Shl Assessment - UCAT,Upwork,Anywhere,via Upwork,"['3 hours ago', '25 to 40 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",3 hours ago,Contractor,True,00:48.1,25 to 40,an hour,32.5,25,40,32.5,,67600,[]
400,Stats Consultant,Upwork,Anywhere,via Upwork,"['11 hours ago', '50 to 80 an hour', 'Work from home', 'Contractor']",11 hours ago,Contractor,True,00:50.0,50 to 80,an hour,65,50,80,65,,135200,[]
403,Google Analytics specialist,Upwork,Anywhere,via Upwork,"['7 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",7 hours ago,Contractor,True,00:50.0,70 to 115,an hour,92.5,70,115,92.5,,192400,[]
404,Consultation for assessment creation using psychometrics.,Upwork,Anywhere,via Upwork,"['12 hours ago', '50 to 115 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",12 hours ago,Contractor,True,00:50.0,50 to 115,an hour,82.5,50,115,82.5,,171600,[]
405,Data analyst to review heat maps for e-commerce websites,Upwork,Anywhere,via Upwork,"['10 hours ago', '15 to 40 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",10 hours ago,Contractor,True,00:50.0,15 to 40,an hour,27.5,15,40,27.5,,57200,[]
408,Senior Medical Analyst,Upwork,Anywhere,via Upwork,"['4 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",4 hours ago,Contractor,True,00:51.2,70 to 115,an hour,92.5,70,115,92.5,,192400,[]
409,Data Scientist,Upwork,Anywhere,via Upwork,"['7 hours ago', '20 to 30 an hour', 'Work from home', 'Part-time']",7 hours ago,Part-time,True,00:51.2,20 to 30,an hour,25,20,30,25,,52000,"['excel', 'tableau']"
410,Actuary for TPA,Upwork,Anywhere,via Upwork,"['21 hours ago', '70 to 115 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",21 hours ago,Contractor,True,00:51.2,70 to 115,an hour,92.5,70,115,92.5,,192400,[]
414,Statistics expert to help with correlation analysis,Upwork,Anywhere,via Upwork,"['4 hours ago', '17 to 45 an hour', 'Work from home', 'Contractor']",4 hours ago,Contractor,True,00:10.1,17 to 45,an hour,31,17,45,31,,64480,[]
415,Data Analyst,ATRILOGY,Anywhere,via Indeed,"['13 hours ago', '100,000.00 to 115,174.36 a year', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",13 hours ago,Full-time,True,00:10.1,100000.00 to 115174.36,a year,107587.18,100000,115174.36,,107587.18,107587.18,"['word', 'sql']"
416,Data Analyst,ATRILOGY,Anywhere,via Indeed,"['9 hours ago', '100,000.00 to 115,174.36 a year', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",9 hours ago,Full-time,True,00:10.1,100000.00 to 115174.36,a year,107587.18,100000,115174.36,,107587.18,107587.18,"['word', 'sql']"
421,Data Analyst,Applicantz,Anywhere,via LinkedIn,"['15 hours ago', '55 to 60 an hour', 'Work from home', 'Contractor']",15 hours ago,Contractor,True,00:10.1,55 to 60,an hour,57.5,55,60,57.5,,119600,"['power_bi', 'qlik', 'power_bi']"
422,Data Analyst,Applicantz,Anywhere,via LinkedIn,"['11 hours ago', '55 to 60 an hour', 'Work from home', 'Contractor']",11 hours ago,Contractor,True,00:10.1,55 to 60,an hour,57.5,55,60,57.5,,119600,"['power_bi', 'qlik', 'power_bi']"
423,Data Analyst,Applicantz,Anywhere,via LinkedIn,"['16 hours ago', '55 to 60 an hour', 'Work from home', 'Contractor']",16 hours ago,Contractor,True,00:12.2,55 to 60,an hour,57.5,55,60,57.5,,119600,"['power_bi', 'qlik', 'power_bi']"
424,Data Analyst,TechTrueUP,Anywhere,via Indeed,"['9 hours ago', '40 to 50 an hour', 'Work from home', 'Contractor']",9 hours ago,Contractor,True,00:12.2,40 to 50,an hour,45,40,50,45,,93600,"['c++', 'tableau', 'numpy', 'matlab', 'sql', 'matplotlib', 'excel', 'java', 'pandas', 'r', 'python']"
425,Data Analyst,TechTrueUP,Anywhere,via Indeed,"['5 hours ago', '40 to 50 an hour', 'Work from home', 'Contractor']",5 hours ago,Contractor,True,00:12.2,40 to 50,an hour,45,40,50,45,,93600,"['c++', 'tableau', 'numpy', 'matlab', 'sql', 'matplotlib', 'excel', 'java', 'pandas', 'r', 'python']"
493,Sr. Data Warehouse Developer,American Auto Shield,Anywhere,via LinkedIn,"['10 hours ago', '122K to 143K a year', 'Work from home', 'Full-time', 'Health insurance', 'Paid time off']",10 hours ago,Full-time,True,00:41.4,122K to 143K,a year,132500,122000,143000,,132500,132500,"['dax', 'azure', 'sql', 'power_bi', 'excel']"
494,Sr. Data Warehouse Developer,American Auto Shield,Anywhere,via LinkedIn,"['6 hours ago', '122K to 143K a year', 'Work from home', 'Full-time', 'Health insurance', 'Paid time off']",6 hours ago,Full-time,True,00:41.4,122K to 143K,a year,132500,122000,143000,,132500,132500,"['dax', 'azure', 'sql', 'power_bi', 'excel']"
495,Enterprise Analytics Data Analyst,GForce Life Sciences,Anywhere,via LinkedIn,"['6 hours ago', '170K to 180K a year', 'Work from home', 'Contractor', 'Health insurance', 'Dental insurance']",6 hours ago,Contractor,True,00:41.4,170K to 180K,a year,175000,170000,180000,,175000,175000,"['sap', 'tableau', 'snowflake', 'sql', 'mssql', 'aws']"
496,Enterprise Analytics Data Analyst,GForce Life Sciences,Anywhere,via LinkedIn,"['2 hours ago', '170K to 180K a year', 'Work from home', 'Contractor', 'Health insurance', 'Dental insurance']",2 hours ago,Contractor,True,00:41.4,170K to 180K,a year,175000,170000,180000,,175000,175000,"['sap', 'tableau', 'snowflake', 'sql', 'mssql', 'aws']"
521,Data Analyst,Planned Parenthood of Greater Ohio,Anywhere,via LinkedIn,"['10 hours ago', '65K to 75K a year', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",10 hours ago,Full-time,True,00:43.9,65K to 75K,a year,70000,65000,75000,,70000,70000,"['outlook', 'word', 'excel']"
522,Data Analyst,Planned Parenthood of Greater Ohio,Anywhere,via LinkedIn,"['6 hours ago', '65K to 75K a year', 'Work from home', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",6 hours ago,Full-time,True,00:43.9,65K to 75K,a year,70000,65000,75000,,70000,70000,"['outlook', 'word', 'excel']"
523,Business Data Analyst,Avani Tech Solutions Private Limited,Anywhere,via LinkedIn,"['7 hours ago', '50 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",7 hours ago,Contractor,True,00:45.4,50 to 75,an hour,62.5,50,75,62.5,,130000,['excel']
524,Business Data Analyst,Avani Tech Solutions Private Limited,Anywhere,via LinkedIn,"['3 hours ago', '50 to 75 an hour', 'Work from home', 'Contractor', 'No degree mentioned']",3 hours ago,Contractor,True,00:45.4,50 to 75,an hour,62.5,50,75,62.5,,130000,['excel']
525,Data Analyst,Northrop Grumman Federal Credit Union,Anywhere,via LinkedIn,"['9 hours ago', '71,458 to 107,187 a year', 'Work from home', 'Full-time']",9 hours ago,Full-time,True,00:45.4,71458 to 107187,a year,89322.5,71458,107187,,89322.5,89322.5,"['sql', 'tableau']"
526,Data Analyst,Northrop Grumman Federal Credit Union,Anywhere,via LinkedIn,"['5 hours ago', '71,458 to 107,187 a year', 'Work from home', 'Full-time']",5 hours ago,Full-time,True,00:45.4,71458 to 107187,a year,89322.5,71458,107187,,89322.5,89322.5,"['sql', 'tableau']"
